Date,Product,Category,Region,Units,Amount
2026-01-05,Laptop,Electronics,North,2,180000
2026-01-06,Mouse,Electronics,East,5,3500
2026-01-08,Desk Chair,Furniture,North,1,15000
2026-01-10,Monitor,Electronics,South,3,45000
2026-01-12,Keyboard,Electronics,West,4,8000
2026-01-15,Desk Lamp,Furniture,North,2,4000
2026-01-18,Laptop,Electronics,East,1,180000
2026-01-20,Mouse,Electronics,South,3,2100
2026-01-22,Desk Chair,Furniture,West,2,30000
2026-01-25,Monitor,Electronics,North,2,30000
2026-02-03,Keyboard,Electronics,East,6,12000
2026-02-05,Desk Lamp,Furniture,South,3,6000
2026-02-08,Laptop,Electronics,West,1,180000
2026-02-10,Mouse,Electronics,North,8,5600
2026-02-15,Desk Chair,Furniture,East,1,15000
2026-02-18,Monitor,Electronics,South,4,60000
2026-02-20,Keyboard,Electronics,West,5,10000
2026-02-22,Desk Lamp,Furniture,North,4,8000
2026-02-25,Laptop,Electronics,South,2,360000
2026-03-02,Mouse,Electronics,East,7,4900
2026-03-05,Desk Chair,Furniture,West,3,45000
2026-03-08,Monitor,Electronics,North,2,30000
2026-03-10,Keyboard,Electronics,South,4,8000
2026-03-15,Desk Lamp,Furniture,East,5,10000
2026-03-18,Laptop,Electronics,West,1,180000
2026-03-22,Mouse,Electronics,North,6,4200
2026-03-25,Desk Chair,Furniture,South,2,30000
2026-04-02,Monitor,Electronics,East,3,45000
2026-04-05,Keyboard,Electronics,West,5,10000
2026-04-08,Desk Lamp,Furniture,North,3,6000
2026-04-12,Laptop,Electronics,South,1,180000
2026-04-15,Mouse,Electronics,East,9,6300
2026-04-18,Desk Chair,Furniture,West,1,15000
2026-04-20,Monitor,Electronics,North,4,60000
2026-04-25,Keyboard,Electronics,South,3,6000
2026-05-02,Desk Lamp,Furniture,East,4,8000
2026-05-05,Laptop,Electronics,West,2,360000
2026-05-08,Mouse,Electronics,North,5,3500
2026-05-12,Desk Chair,Furniture,South,2,30000
2026-05-15,Monitor,Electronics,East,2,30000
2026-05-18,Keyboard,Electronics,West,7,14000
2026-05-22,Desk Lamp,Furniture,North,2,4000
2026-05-25,Laptop,Electronics,South,1,180000
2026-06-02,Mouse,Electronics,East,4,2800
2026-06-05,Desk Chair,Furniture,West,3,45000
2026-06-08,Monitor,Electronics,North,3,45000
2026-06-12,Keyboard,Electronics,South,4,8000
